,ID,Title,Author
56,6215,"Math.AnnOn the partial differential equations of mathematical physics 9780198569039, 0-19-856903-3",Juan Luis Vazquez
57,6471,"Mathematics, Basic math and algebra [Course ed.]",
58,6880,"Monographs and Surveys in Pure and Applied MathIsometries on Banach spaces: function spaces [1 ed.] 1584880406, 9781584880400","Richard J. Fleming, James E. Jamison"
59,6883,Expo Math.20 p143Smooth bump functions and the geometry of Banach spaces: a brief survey,"Fry R., McManus S."
60,7397,"Lie Groups : History, Frontiers and Applications Series, No 2Ricci and Levi-Civita's tensor analysis papers 0915692112, 9780915692118",Robert Hermann
61,7451,Calculus of variations,Bliss G.A.
62,7627,Enumerative theory of singularities Symposium Math,Kleiman S.L.
63,7628,Proc Symp Pure Math.46Intersection theory and enumerative geometry: a decade in review,Kleiman S.L.
64,7641,Expo. MathGeometry of Minkowski spaces. Survey [Part 2],"Martini H., Swanepoel K."
65,7642,Expo Math.19Geometry of Minkowski spaces. Survey [Part 1],"Martini H., Swanepoel K., Weiss G."
66,7678,"Deformation of structures on manifolds defined by transitive, continuous pseudogroups (Ann. of Math., 1962-1965) [parts I, II, III]",Spencer D.C.
67,7891,Ann.Math.119 p1Higher singularities of smooth functions are unnecessary,Igusa K.
68,8148,"Graduate Studies in Math.Introduction to the $h$-Principle  [Volume 48] 9780821832271, 0821832271","Y. Eliashberg, N. Mishachev"
69,8149,Graduate Studies in Math.Introduction to the h-Principle [Volume 48],"Eliashberg Y., Mishachev N."
70,8181,"Complex manifolds and Hermitian differential geometry (MATH 1360 lecture notes, Toronto, web draft 1997)",Hwang A.D.
71,8199,"Advanced Studies in Contemporary Math, Volume 1Geometry of jet spaces and nonlinear differential equations [1 ed.] 2881240518, 9782881240515",Krasil'shchik
72,8280,"Lie groups 15The classical differential geometry of curves and surfaces 0915692392, 9780915692392",Georges Valiron
73,8574,"BigNum Math. Implementing Cryptographic Multiple Precision Arithmetic 1597491128, 9781597491129, 9781423789741",Tom St Denis
74,8598,J.reine angew Math.69 p29Allgemeine Theorie der kettenbruchaehnlichen [kettenbruchähnlichen] Algorithmen,Carl Gustav Jacob Jacobi
75,8624,"The definitive guide to how computers do math: featuring the virtual DIY calculator 0471732788, 9780471732785, 9780471741961","Clive Maxfield, Alvin Brown"
76,8915,"Fundamentals of Finite Element Analysis [1 ed.] 9780072922363, 0072922362","David V. Hutton, David Hutton"
